"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
1993-05-13,5.242,4.448,4.433,3.536,3.524,4.772,6.416,6.78
1993-05-14,5.058,4.343,4.679,3.463,3.407,4.692,6.309,6.736
1993-05-15,4.697,4.508,4.737,3.46,3.434,4.775,6.2,6.621
1993-05-16,4.464,4.739,4.606,3.558,3.564,4.865,6.153,6.542
1993-05-17,4.307,4.916,4.43,3.73,3.707,4.938,5.939,6.457
1993-05-18,4.134,5.045,4.335,3.972,3.806,4.95,5.744,6.361
1993-05-19,4.177,5.111,4.367,4.179,3.941,4.974,5.682,6.301
1993-05-20,4.392,5.09,4.372,4.282,4.109,4.957,5.671,6.258
1993-05-21,4.572,5.102,4.416,4.398,4.28,4.976,5.747,6.285
1993-05-22,4.823,5.138,4.499,4.507,4.443,5.012,5.838,6.361
1993-05-23,5.004,5.202,4.6,4.632,4.604,5.045,5.931,6.468
1993-05-24,5.222,5.269,4.714,4.767,4.771,5.069,6.026,6.585
1993-05-25,5.352,5.369,4.825,4.936,4.957,5.135,6.174,6.735
1993-05-26,5.407,5.44,4.885,5.097,5.146,5.198,6.262,6.837
1993-05-27,5.541,5.491,4.97,5.158,5.255,5.217,6.285,6.883
1993-05-28,5.607,5.543,5.094,5.192,5.337,5.241,6.337,6.903
1993-05-29,5.577,5.586,5.188,5.214,5.396,5.28,6.409,6.939
1993-05-30,5.517,5.621,5.266,5.238,5.415,5.284,6.393,6.917
1993-05-31,5.444,5.649,5.296,5.307,5.482,5.284,6.399,6.84
1993-06-01,5.34,5.676,5.226,5.348,5.483,5.307,6.427,6.742
1993-06-02,5.411,5.707,5.231,5.398,5.509,5.255,6.255,6.588
1993-06-03,5.573,5.762,5.344,5.402,5.532,5.215,6.054,6.446
1993-06-04,5.63,5.744,5.389,5.385,5.522,5.233,5.919,6.416
1993-06-05,5.69,5.72,5.365,5.387,5.533,5.253,5.857,6.388
1993-06-06,5.763,5.708,5.316,5.391,5.498,5.252,5.891,6.345
1993-06-07,5.887,5.728,5.296,5.41,5.458,5.245,5.925,6.356
1993-06-08,6.017,5.839,5.49,5.455,5.526,5.239,5.965,6.407
1993-06-09,6.033,5.988,5.448,5.436,5.508,5.319,6.127,6.52
1993-06-10,6.017,5.949,5.334,5.46,5.559,5.342,6.133,6.561
1993-06-11,6.042,5.865,5.303,5.491,5.653,5.317,6.096,6.54
1993-06-12,6.122,5.885,5.282,5.477,5.668,5.297,6.131,6.553
1993-06-13,6.166,5.876,5.237,5.462,5.662,5.296,6.158,6.612
1993-06-14,6.237,5.902,5.264,5.456,5.67,5.251,6.125,6.635
1993-06-15,6.25,5.906,5.242,5.44,5.646,5.238,6.169,6.676
1993-06-16,6.283,5.924,5.256,5.451,5.636,5.218,6.156,6.646
1993-06-17,6.285,5.941,5.23,5.439,5.603,5.217,6.175,6.583
1993-06-18,6.273,5.882,5.179,5.394,5.547,5.207,6.176,6.546
1993-06-19,6.278,5.838,5.129,5.335,5.488,5.194,6.181,6.553
1993-06-20,6.286,5.815,5.063,5.25,5.41,5.179,6.207,6.622
1993-06-21,6.34,5.803,5.016,5.152,5.316,5.143,6.221,6.74
