"Date","18 m","25 m","29 m","34 m","40 m","47 m","56 m","66 m"
2022-07-25,8.093,6.394,9.611,9.613,5.31,3.905,3.192,3.415
2022-07-26,7.754,5.87,9.741,9.816,5.069,3.723,3.053,3.388
2022-07-27,7.691,5.78,9.467,9.657,4.832,3.639,3,3.357
2022-07-28,7.755,5.884,9.3,9.6,4.762,3.509,2.969,3.353
2022-07-29,8.1,6.079,9.2,9.482,4.98,3.509,3.058,3.385
2022-07-30,8.179,6.15,9.279,9.528,5.154,3.574,3.191,3.429
2022-07-31,8.134,6.264,9.542,9.576,5.142,3.613,3.062,3.451
2022-08-01,8.223,6.481,9.705,9.768,5.086,3.596,3.018,3.434
2022-08-02,8.338,6.421,9.858,10.029,5.1,3.558,3.025,3.429
2022-08-03,8.767,6.698,10.018,10.282,5.342,3.583,3.112,3.449
2022-08-04,8.979,7.03,10.103,10.295,5.46,3.628,3.114,3.458
2022-08-05,8.809,7.011,10.192,10.347,5.395,3.621,3.086,3.453
2022-08-06,8.976,7.045,10.174,10.481,5.419,3.662,3.102,3.459
2022-08-07,9.022,7.336,10.247,10.597,5.444,3.648,3.141,3.451
2022-08-08,9.052,6.961,10.219,10.668,5.46,3.647,3.147,3.452
2022-08-09,9.118,7.522,10.078,10.461,5.487,3.712,3.144,3.427
2022-08-10,9.484,7.677,10.593,11.046,5.69,3.825,3.322,3.373
2022-08-11,10.581,8.417,11.486,11.613,6.227,4.075,3.634,3.43
2022-08-12,10.96,8.838,12.12,11.647,6.484,4.352,3.474,3.519
2022-08-13,10.561,8.793,12.271,11.745,6.001,4.36,3.359,3.473
2022-08-14,10.442,8.636,12.399,12.013,5.643,4.186,3.276,3.431
2022-08-15,10.488,8.204,12.424,12.404,5.518,3.901,3.192,3.396
2022-08-16,10.643,8.166,12.436,12.68,5.401,3.725,3.142,3.387
2022-08-17,11.044,8.88,12.477,13.055,5.439,3.687,3.159,3.415
2022-08-18,11.892,9.214,13.414,13.408,5.889,3.668,3.274,3.477
2022-08-19,12.244,8.612,14.166,13.569,6.107,3.854,3.317,3.564
2022-08-20,10.946,8.052,12.856,13.403,5.471,3.78,3.277,3.517
2022-08-21,9.965,7.978,10.992,12.621,4.971,3.656,3.231,3.481
2022-08-22,9.312,7.705,10.476,12.46,4.935,3.524,3.22,3.459
2022-08-23,9.881,7.634,10.912,13.164,5.096,3.607,3.291,3.486
2022-08-24,10.37,7.606,11.15,13.284,5.273,3.609,3.318,3.505
2022-08-25,10.133,7.347,11.081,13.261,5.298,3.612,3.325,3.505
2022-08-26,9.561,7.344,10.732,13.046,5.205,3.58,3.322,3.509
2022-08-27,9.173,7.163,10.475,12.893,5.173,3.559,3.35,3.51
2022-08-28,9.83,7.081,10.74,13.339,5.375,3.629,3.426,3.524
2022-08-29,10.418,7.363,10.96,13.421,5.572,3.678,3.508,3.542
2022-08-30,10.919,7.555,11.184,13.42,5.721,3.759,3.594,3.596
2022-08-31,10.956,7.597,11.19,13.219,5.792,3.835,3.596,3.637
2022-09-01,10.467,7.788,11.015,13.014,5.717,3.903,3.636,3.689
2022-09-02,10.405,7.524,10.937,12.957,5.819,3.985,3.723,3.725
2022-09-03,11.037,7.886,11.139,12.95,6.033,4.112,3.66,3.769
2022-09-04,11.194,8.135,11.39,13.115,6.21,4.182,3.754,3.808
2022-09-05,11.891,8.362,11.77,13.348,6.487,4.333,3.97,3.871
2022-09-06,12.434,9.095,12.101,13.178,6.725,4.56,4.112,3.93
2022-09-07,12.731,9.718,12.779,13.416,6.952,4.817,4.308,3.946
2022-09-08,13.172,10.443,13.507,13.689,7.335,5.067,4.541,4.048
2022-09-09,13.278,11.101,14.088,13.574,7.566,5.283,4.41,4.151
2022-09-10,13.55,11.75,14.595,13.694,7.633,5.48,4.375,4.203
2022-09-11,14.163,12.334,15.065,13.65,7.741,5.71,4.444,4.299
2022-09-12,14.81,12.918,15.91,13.711,8.121,5.846,4.622,4.469
2022-09-13,15.518,13.855,16.971,13.873,8.985,6.203,4.98,4.764
2022-09-14,15.77,14.524,17.507,13.991,9.448,6.443,5.191,4.966
2022-09-15,15.075,13.81,17.333,13.966,8.729,6.178,4.856,4.686
2022-09-16,13.878,11.547,15.751,13.79,7.337,5.3,4.517,4.244
2022-09-17,13.277,9.955,13.591,13.384,6.476,4.959,4.463,4.045
2022-09-18,13.576,10.615,13.843,12.942,6.991,5,4.655,4.227
2022-09-19,14.026,12.559,15.416,12.725,8.529,6.584,6.066,4.955
2022-09-20,15.075,14.45,16.199,13.7,11.138,8.187,7.981,6.209
2022-09-21,16.186,15.08,16.141,14.68,12.748,9.367,9.678,6.884
2022-09-22,15.937,15.106,16.413,13.521,12.552,9.597,7.917,6.765
2022-09-23,14.432,14.227,16.548,12.258,10.084,7.779,5.614,5.544
2022-09-24,13.672,13.027,16.348,12.052,8.239,6.829,5.02,4.538
2022-09-25,11.098,7.643,13.31,11.787,5.224,4.265,3.652,3.485
2022-09-26,10.016,6.744,10.601,11.743,4.556,3.925,3.646,3.377
2022-09-27,9.767,6.725,10.691,11.647,4.476,3.681,3.662,3.29
2022-09-28,10.014,7.198,11.274,10.859,4.935,4.001,4.055,3.259
2022-09-29,10.498,8.248,11.699,10.63,6.306,4.731,4.507,3.643
2022-09-30,11.286,9.218,12.285,10.924,7.647,5.25,4.876,4.034
2022-10-01,11.871,9.71,12.587,11.415,8.487,5.676,5.504,4.374
2022-10-02,12.23,10.407,12.764,11.552,9.101,6.323,5.997,4.76
2022-10-03,12.941,11.62,13.046,11.685,9.991,7.308,7.138,5.253
2022-10-04,13.593,12.531,13.512,12.947,11.182,8.709,9.141,6.29
2022-10-05,13.756,13.168,13.944,12.133,11.694,9.964,8.392,6.82
2022-10-06,13.828,13.474,14.225,10.847,11.572,10.462,7.056,6.379
2022-10-07,13.963,13.629,14.341,11.121,11.529,10.711,7.383,6.069
2022-10-08,13.807,13.594,14.558,10.239,11.026,10.362,5.984,5.423
2022-10-09,13.28,13.083,14.42,10.1,9.717,9.091,5.262,4.561
2022-10-10,12.576,12.233,14.095,9.936,8.467,6.867,4.494,3.921
2022-10-11,12.097,11.777,13.799,9.827,7.884,5.621,3.983,3.788
2022-10-12,12.167,11.582,13.752,9.811,7.999,5.149,3.879,3.896
2022-10-13,12.647,11.883,13.698,9.895,8.658,5.392,4.26,4.147
2022-10-14,13.132,12.202,13.633,10.106,9.422,6.101,5.001,4.452
2022-10-15,13.274,12.526,13.558,10.48,9.854,6.834,5.727,4.74
2022-10-16,13.128,12.595,13.457,10.499,9.912,7.166,5.886,4.93
2022-10-17,12.689,12.479,13.345,10.158,9.411,6.982,5.373,4.806
2022-10-18,11.937,11.986,13.156,10.114,8.327,5.77,4.859,4.476
2022-10-19,11.623,11.599,13.063,10.182,7.883,4.981,4.66,4.478
2022-10-20,11.612,11.124,13.136,10.254,7.789,4.497,4.476,4.51
2022-10-21,11.322,10.489,13.109,10.172,7.45,4.393,4.348,4.489
2022-10-22,10.418,9.961,12.839,10.185,6.383,4.126,4.264,4.4
