"Date","110 m","131 m","156 m"
2022-01-09,10.343,10.281,10.156
2022-01-10,10.291,10.227,10.145
2022-01-11,10.288,10.192,10.118
2022-01-12,10.285,10.166,10.12
2022-01-13,10.188,10.154,10.122
2022-01-14,10.165,10.163,10.123
2022-01-15,10.219,10.164,10.135
2022-01-16,10.314,10.136,10.149
2022-01-17,10.171,10.086,10.139
2022-01-18,10.02,10.089,10.139
2022-01-19,10.126,10.117,10.158
2022-01-20,9.965,10.074,10.168
2022-01-21,9.761,10.028,10.172
2022-01-22,9.553,10.011,10.168
2022-01-23,9.504,10.051,10.171
2022-01-24,9.611,10.085,10.197
2022-01-25,9.371,10.078,10.226
2022-01-26,9.156,10.06,10.242
2022-01-27,9.076,10.048,10.246
2022-01-28,9.192,10.029,10.239
2022-01-29,9.245,10.042,10.235
2022-01-30,9.531,10.02,10.238
2022-01-31,9.683,10.106,10.307
2022-02-01,9.516,10.133,10.353
2022-02-02,9.553,10.087,10.375
2022-02-03,9.677,10.109,10.389
2022-02-04,9.664,10.191,10.435
2022-02-05,9.486,10.216,10.477
2022-02-06,9.478,10.249,10.496
2022-02-07,9.527,10.137,10.477
2022-02-08,9.575,10.127,10.452
2022-02-09,9.58,10.234,10.472
2022-02-10,9.496,10.236,10.5
2022-02-11,9.439,10.119,10.497
2022-02-12,9.429,10.042,10.47
2022-02-13,9.383,10.057,10.458
2022-02-14,9.432,10.048,10.458
2022-02-15,9.499,10.004,10.449
2022-02-16,9.462,10.061,10.453
2022-02-17,9.437,10.099,10.446
2022-02-18,9.505,10.161,10.438
2022-02-19,9.549,10.174,10.428
2022-02-20,9.633,10.114,10.386
2022-02-21,9.619,10.025,10.344
2022-02-22,9.474,9.993,10.328
2022-02-23,9.453,9.994,10.323
2022-02-24,9.483,10.039,10.327
2022-02-25,9.487,10.081,10.309
2022-02-26,9.516,10.039,10.289
2022-02-27,9.511,10.005,10.279
2022-02-28,9.492,10.036,10.282
2022-03-01,9.401,10.037,10.262
2022-03-02,9.428,9.959,10.24
2022-03-03,9.4,9.937,10.221
2022-03-04,9.312,9.954,10.208
2022-03-05,9.165,9.938,10.187
2022-03-06,9.102,9.898,10.167
2022-03-07,9.219,9.895,10.147
2022-03-08,9.233,9.916,10.129
2022-03-09,9.158,9.916,10.095
2022-03-10,9.048,9.803,10.05
2022-03-11,9.038,9.701,10.004
2022-03-12,9.037,9.66,9.985
2022-03-13,9.063,9.67,9.958
2022-03-14,9.047,9.758,9.907
2022-03-15,9.003,9.671,9.843
2022-03-16,8.874,9.526,9.792
2022-03-17,8.78,9.442,9.772
2022-03-18,8.791,9.414,9.755
2022-03-19,8.705,9.415,9.727
2022-03-20,8.6,9.327,9.689
2022-03-21,8.617,9.3,9.661
2022-03-22,8.492,9.325,9.641
2022-03-23,8.42,9.352,9.618
2022-03-24,8.43,9.311,9.606
2022-03-25,8.453,9.222,9.587
2022-03-26,8.654,9.216,9.594
2022-03-27,8.567,9.263,9.587
2022-03-28,8.292,9.232,9.577
2022-03-29,8.1,9.211,9.581
2022-03-30,8.117,9.306,9.582
2022-03-31,8.224,9.35,9.58
2022-04-01,8.268,9.314,9.574
2022-04-02,8.423,9.332,9.567
2022-04-03,8.424,9.363,9.539
2022-04-04,8.353,9.325,9.521
2022-04-05,8.276,9.311,9.513
2022-04-06,8.215,9.314,9.506
2022-04-07,8.235,9.33,9.502
2022-04-08,8.279,9.32,9.493
2022-04-09,8.549,9.28,9.464
2022-04-10,8.639,9.266,9.44
2022-04-11,8.46,9.243,9.425
2022-04-12,8.272,9.19,9.424
2022-04-13,8.195,9.165,9.432
2022-04-14,8.19,9.193,9.45
2022-04-15,8.28,9.209,9.454
2022-04-16,8.421,9.235,9.455
2022-04-17,8.399,9.246,9.455
2022-04-18,8.352,9.25,9.464
2022-04-19,8.438,9.258,9.47
2022-04-20,8.665,9.203,9.453
2022-04-21,8.719,9.262,9.477
2022-04-22,8.568,9.249,9.486
