"Date","40 m","47 m","56 m","66 m","78 m","92 m","110 m","131 m","156 m"
2023-11-02,9.127,7.625,6.676,6.967,7.694,8.15,9.068,9.695,9.764
2023-11-03,8.631,7.176,6.302,6.881,7.671,8.1,9.045,9.679,9.769
2023-11-04,8.492,6.926,6.021,6.836,7.66,8.051,8.992,9.649,9.766
2023-11-05,8.32,6.596,5.664,6.777,7.675,8.001,8.926,9.596,9.741
2023-11-06,8.246,6.383,5.3,6.662,7.654,7.918,8.863,9.543,9.733
2023-11-07,8.799,6.785,5.156,6.562,7.607,7.843,8.811,9.488,9.729
2023-11-08,9.257,6.978,4.866,6.484,7.527,7.714,8.737,9.442,9.736
2023-11-09,9.045,6.781,4.858,6.585,7.562,7.69,8.723,9.321,9.653
2023-11-10,9.756,7.54,5.104,6.625,7.609,7.656,8.717,9.242,9.524
2023-11-11,9.63,7.569,5.26,6.61,7.621,7.633,8.706,9.225,9.489
2023-11-12,9.079,7.264,5.408,6.601,7.597,7.619,8.674,9.214,9.5
2023-11-13,8.863,7.215,5.525,6.6,7.546,7.598,8.635,9.203,9.532
2023-11-14,8.516,6.941,5.437,6.576,7.477,7.56,8.587,9.178,9.548
2023-11-15,8.629,6.997,5.356,6.587,7.437,7.526,8.567,9.156,9.558
2023-11-16,8.338,6.695,5.157,6.537,7.369,7.454,8.544,9.157,9.571
2023-11-17,8.131,6.504,4.973,6.521,7.307,7.37,8.516,9.168,9.543
2023-11-18,8.112,6.403,4.804,6.497,7.269,7.284,8.49,9.187,9.516
2023-11-19,7.754,6.043,4.64,6.444,7.211,7.197,8.473,9.202,9.479
2023-11-20,7.739,6.12,4.623,6.434,7.178,7.131,8.493,9.183,9.45
2023-11-21,8.132,6.446,4.712,6.452,7.197,7.092,8.509,9.166,9.47
2023-11-22,8.665,6.853,4.935,6.488,7.178,7.037,8.452,9.155,9.515
2023-11-23,8.553,6.85,5.17,6.514,7.136,7.013,8.372,9.16,9.542
2023-11-24,7.044,5.836,4.971,6.502,7.085,7.024,8.448,9.205,9.532
2023-11-25,6.553,5.547,4.731,6.455,7.026,7.031,8.527,9.151,9.476
