"Date","222 m","318 m","380 m","902 m","1245 m"
2001-12-19,8.233,6.531,7.357,4.581,3.9
2001-12-20,8.409,6.683,7.126,4.578,3.965
2001-12-21,8.56,6.978,7.235,4.53,4.002
2001-12-22,8.621,6.786,7.035,4.47,4.015
2001-12-23,8.713,6.916,7.341,4.427,4.011
2001-12-24,8.81,6.896,7.579,4.411,4
2001-12-25,8.867,6.732,7.479,4.404,3.995
2001-12-26,8.853,6.674,7.024,4.417,3.997
2001-12-27,8.884,6.8,7.227,4.409,3.984
2001-12-28,8.738,6.736,6.784,4.371,3.957
2001-12-29,7.355,6.56,6.125,4.325,3.925
2001-12-30,7.193,6.471,5.846,4.283,3.899
2001-12-31,7.232,6.402,5.986,4.286,3.89
2002-01-01,7.189,6.193,5.801,4.319,3.893
2002-01-02,7.183,6.071,5.542,4.341,3.904
2002-01-03,6.888,5.869,5.229,4.377,3.927
2002-01-04,6.696,5.802,5.334,4.389,3.938
2002-01-05,6.896,5.915,6.014,4.366,3.932
2002-01-06,7.152,5.273,5.69,4.365,3.927
2002-01-07,7.153,5.282,5.937,4.365,3.919
2002-01-08,7.347,5.106,5.737,4.352,3.891
2002-01-09,7.289,5.442,6.09,4.351,3.867
2002-01-10,7.33,5.159,5.904,4.288,3.811
2002-01-11,6.933,5.084,5.333,4.285,3.779
2002-01-12,7.002,5.236,5.633,4.233,3.738
2002-01-13,7.129,5.295,5.939,4.19,3.716
2002-01-14,6.431,5.059,5.617,4.135,3.697
2002-01-15,5.006,4.957,4.904,4.207,3.724
2002-01-16,5.131,4.984,4.981,4.245,3.758
2002-01-17,5.387,5.181,5.345,4.196,3.799
2002-01-18,5.522,5.348,5.536,4.198,3.864
2002-01-19,5.772,5.482,5.641,4.207,3.926
2002-01-20,6.038,5.622,5.702,4.203,3.968
2002-01-21,6.447,5.752,5.953,4.172,3.98
2002-01-22,6.72,5.702,5.852,4.142,3.973
2002-01-23,5.485,5.467,5.267,4.151,3.972
2002-01-24,5.564,5.438,5.442,4.151,3.969
2002-01-25,5.807,5.579,5.544,4.152,3.962
2002-01-26,6.044,5.662,5.569,4.168,3.965
2002-01-27,6.287,5.77,5.739,4.192,3.987
2002-01-28,6.642,5.932,5.95,4.231,4.03
2002-01-29,7.238,6.353,6.347,4.258,4.045
2002-01-30,7.513,6.707,6.59,4.286,4.066
2002-01-31,7.795,7.086,7.059,4.3,4.084
2002-02-01,7.908,7.533,7.659,4.308,4.09
2002-02-02,8.027,7.316,7.563,4.335,4.113
2002-02-03,8.353,7.258,7.087,4.392,4.155
2002-02-04,8.758,7.765,7.574,4.478,4.197
2002-02-05,8.843,8.315,7.952,4.634,4.237
2002-02-06,8.638,8.123,7.919,4.773,4.261
2002-02-07,8.627,7.434,7.281,4.828,4.26
2002-02-08,8.742,7.603,7.303,4.82,4.254
2002-02-09,8.835,7.59,7.286,4.781,4.275
2002-02-10,8.874,7.265,7.151,4.757,4.333
2002-02-11,8.866,7.03,7.077,4.761,4.372
2002-02-12,7.901,5.813,6.12,4.771,4.353
2002-02-13,7.743,5.996,6.375,4.745,4.311
2002-02-14,7.389,5.456,5.825,4.732,4.253
2002-02-15,6.985,5.563,5.966,4.703,4.168
2002-02-16,7.193,5.84,5.961,4.654,4.048
2002-02-17,6.905,5.935,5.902,4.643,3.969
2002-02-18,6.991,6.123,6.154,4.617,3.898
2002-02-19,7.191,6.531,6.697,4.582,3.858
2002-02-20,7.54,6.782,6.941,4.562,3.843
2002-02-21,7.599,6.409,6.61,4.552,3.833
2002-02-22,7.681,6.465,6.563,4.513,3.822
2002-02-23,7.618,6.41,6.377,4.478,3.837
2002-02-24,7.639,6.479,6.383,4.451,3.871
2002-02-25,7.702,6.652,6.494,4.425,3.904
2002-02-26,7.705,6.62,6.461,4.424,3.931
2002-02-27,7.746,6.368,6.301,4.42,3.938
2002-02-28,7.314,6.151,6.063,4.374,3.932
