"Date","66 m","78 m","92 m","110 m","131 m","156 m","186 m","266 m","380 m"
2022-08-24,3.052,3.306,3.701,4.837,5.936,6.451,8.61,6.888,5.554
2022-08-25,3.044,3.32,3.675,4.796,5.926,6.41,8.602,6.684,5.494
2022-08-26,3.129,3.358,3.693,4.858,5.967,6.464,8.591,6.483,5.482
2022-08-27,3.166,3.399,3.714,4.898,6.028,6.499,8.636,6.412,5.472
2022-08-28,3.211,3.439,3.739,4.92,6.035,6.506,8.725,6.443,5.461
2022-08-29,3.268,3.488,3.769,4.951,6.044,6.522,8.765,6.506,5.462
2022-08-30,3.298,3.528,3.771,4.962,6.042,6.513,8.715,6.572,5.468
2022-08-31,3.305,3.561,3.76,4.961,6.049,6.525,8.706,6.648,5.485
2022-09-01,3.32,3.591,3.745,4.969,6.065,6.556,8.745,6.716,5.514
2022-09-02,3.315,3.61,3.715,4.954,6.113,6.614,9.014,6.736,5.546
2022-09-03,3.333,3.611,3.671,4.969,6.113,6.635,9.026,6.692,5.563
2022-09-04,3.361,3.636,3.669,5.022,6.176,6.705,9.038,6.686,5.591
2022-09-05,3.355,3.639,3.657,5.02,6.225,6.75,9.033,6.682,5.607
2022-09-06,3.391,3.654,3.68,5.071,6.324,6.848,8.97,6.679,5.623
2022-09-07,3.421,3.666,3.696,5.088,6.441,6.938,8.87,6.695,5.652
2022-09-08,3.479,3.692,3.701,5.091,6.517,7.023,8.749,6.726,5.676
2022-09-09,3.525,3.714,3.697,5.077,6.52,7.059,8.696,6.755,5.691
2022-09-10,3.506,3.708,3.68,5.043,6.366,6.902,8.78,6.832,5.699
2022-09-11,3.487,3.686,3.711,5.029,6.265,6.664,8.667,6.995,5.729
2022-09-12,3.458,3.624,3.685,4.9,6.222,6.517,7.932,7.128,5.762
2022-09-13,3.391,3.6,3.664,4.869,6.024,6.404,7.533,7.212,5.778
2022-09-14,3.342,3.555,3.578,4.755,5.855,6.336,7.578,7.238,5.801
2022-09-15,3.334,3.522,3.442,4.597,5.735,6.297,7.548,7.201,5.837
2022-09-16,3.338,3.458,3.278,4.417,5.624,6.243,7.426,7.085,5.851
2022-09-17,3.307,3.402,3.209,4.332,5.608,6.112,7.059,6.96,5.843
2022-09-18,3.265,3.428,3.515,4.512,5.558,6.114,6.905,7.004,5.838
2022-09-19,3.239,3.443,3.61,4.582,5.55,6.226,6.991,7.117,5.845
2022-09-20,3.27,3.558,3.512,4.554,5.667,6.238,7.08,7.147,5.86
2022-09-21,3.332,3.61,3.381,4.47,5.687,6.149,7.085,7.11,5.881
2022-09-22,3.386,3.684,3.535,4.546,5.718,6.192,7.239,7.04,5.903
2022-09-23,3.345,3.576,3.584,4.568,5.687,6.266,7.601,6.943,5.931
2022-09-24,3.357,3.596,3.669,4.712,5.799,6.357,7.837,6.741,5.975
2022-09-25,3.747,4.155,4.219,5.048,6.713,7.305,7.766,6.286,6.025
2022-09-26,3.313,3.774,3.919,4.774,6.135,6.88,7.58,6.134,6.041
2022-09-27,3.138,3.593,3.791,4.722,5.922,6.598,8.075,6.051,6.065
2022-09-28,3.24,3.607,3.716,4.738,6.097,6.886,8.386,6.052,6.076
2022-09-29,3.369,3.681,3.722,4.775,6.184,7.077,8.567,6.084,6.07
2022-09-30,3.467,3.738,3.712,4.854,6.188,7.229,8.665,6.089,6.063
2022-10-01,3.495,3.719,3.721,4.861,6.114,7.174,8.706,6.154,6.064
2022-10-02,3.469,3.66,3.746,4.858,6.098,7.096,8.695,6.155,6.064
2022-10-03,3.478,3.661,3.774,4.868,6.193,7.112,8.755,6.171,6.065
2022-10-04,3.484,3.66,3.763,4.838,6.228,7.074,8.786,6.274,6.068
2022-10-05,3.454,3.629,3.685,4.774,6.147,6.989,8.696,6.412,6.076
2022-10-06,3.42,3.611,3.607,4.762,6.103,6.968,8.567,6.521,6.08
2022-10-07,3.405,3.607,3.56,4.741,6.074,6.985,8.604,6.651,6.099
2022-10-08,3.407,3.641,3.532,4.742,6.099,7.034,8.71,6.801,6.116
2022-10-09,3.377,3.626,3.495,4.682,6.004,6.943,8.718,6.982,6.142
2022-10-10,3.319,3.569,3.463,4.638,5.865,6.771,8.604,7.059,6.16
2022-10-11,3.282,3.533,3.457,4.608,5.819,6.643,8.435,7.124,6.168
2022-10-12,3.252,3.507,3.467,4.576,5.802,6.547,8.206,7.173,6.178
2022-10-13,3.249,3.505,3.503,4.601,5.815,6.569,8.062,7.22,6.183
2022-10-14,3.256,3.505,3.478,4.551,5.775,6.58,7.993,7.291,6.192
2022-10-15,3.276,3.522,3.427,4.487,5.717,6.566,7.933,7.323,6.2
2022-10-16,3.307,3.549,3.38,4.426,5.66,6.553,7.873,7.325,6.203
2022-10-17,3.38,3.615,3.387,4.413,5.679,6.535,7.89,7.275,6.203
2022-10-18,3.355,3.551,3.392,4.358,5.611,6.449,7.861,7.233,6.205
2022-10-19,3.344,3.561,3.384,4.365,5.544,6.406,7.798,7.162,6.201
2022-10-20,3.406,3.621,3.385,4.378,5.581,6.411,7.898,7.119,6.207
2022-10-21,3.431,3.615,3.41,4.367,5.615,6.385,8.108,7.053,6.217
2022-10-22,3.385,3.58,3.419,4.364,5.57,6.323,8.088,6.963,6.224
2022-10-23,3.38,3.604,3.421,4.343,5.526,6.259,8.06,6.902,6.231
2022-10-24,3.386,3.655,3.45,4.352,5.539,6.235,7.945,6.844,6.26
2022-10-25,3.405,3.712,3.487,4.38,5.568,6.284,7.974,6.885,6.267
2022-10-26,3.429,3.76,3.501,4.367,5.576,6.31,8.015,6.976,6.271
2022-10-27,3.422,3.755,3.51,4.345,5.549,6.316,7.911,7.085,6.277
2022-10-28,3.477,3.794,3.521,4.343,5.523,6.33,7.879,7.178,6.282
2022-10-29,3.425,3.722,3.619,4.349,5.52,6.279,7.583,7.276,6.292
2022-10-30,3.453,3.782,3.698,4.374,5.455,6.273,7.423,7.374,6.3
2022-10-31,3.48,3.828,3.764,4.404,5.474,6.277,7.421,7.408,6.313
2022-11-01,3.517,3.873,3.818,4.407,5.492,6.255,7.426,7.437,6.314
2022-11-02,3.59,3.962,3.886,4.449,5.513,6.244,7.445,7.485,6.32
2022-11-03,3.577,3.78,3.945,4.428,5.505,6.143,7.238,7.522,6.335
2022-11-04,3.594,3.909,4.181,4.602,5.503,6.16,7.13,7.619,6.353
2022-11-05,3.725,4.016,4.172,4.604,5.557,6.162,7.181,7.697,6.357
2022-11-06,3.791,4.037,4.155,4.565,5.524,6.132,7.197,7.718,6.375
2022-11-07,3.892,4.061,4.153,4.545,5.468,6.122,7.198,7.725,6.37
2022-11-08,3.87,3.939,4.18,4.51,5.404,6.012,7.073,7.704,6.385
2022-11-09,3.9,3.963,4.255,4.582,5.436,5.964,6.952,7.683,6.413
2022-11-10,3.96,4.187,4.483,4.801,5.507,6.018,6.939,7.736,6.419
2022-11-11,4.045,4.219,4.629,4.818,5.499,5.987,6.871,7.733,6.459
2022-11-12,4.222,4.42,4.726,4.871,5.573,6.003,6.969,7.743,6.489
2022-11-13,4.374,4.406,4.756,4.842,5.57,5.969,6.95,7.726,6.485
2022-11-14,4.537,4.499,4.762,4.874,5.588,5.96,7,7.725,6.492
2022-11-15,4.543,4.456,4.767,4.879,5.624,5.91,7.019,7.708,6.511
2022-11-16,4.478,4.414,4.825,4.934,5.549,5.849,6.963,7.727,6.552
