"Date","8 m","10 m","13 m","16 m","18 m","25 m","34 m"
2010-03-31,2.954,2.827,2.761,2.624,2.672,2.339,2.46
2010-04-01,3.156,2.917,2.888,2.744,2.654,2.435,2.503
2010-04-02,3.369,3.037,3.028,2.847,2.643,2.539,2.53
2010-04-03,3.635,3.232,3.176,2.948,2.701,2.6,2.562
2010-04-04,4.111,3.516,3.335,3.114,2.794,2.624,2.61
2010-04-05,4.555,3.828,3.524,3.413,2.9,2.627,2.654
2010-04-06,4.909,4.215,3.772,3.698,3.022,2.649,2.684
2010-04-07,5.181,4.526,3.951,3.983,3.133,2.674,2.715
2010-04-08,5.444,4.746,4.167,4.098,3.241,2.736,2.751
2010-04-09,5.668,4.943,4.422,3.982,3.32,2.831,2.79
2010-04-10,5.942,5.397,4.707,4.15,3.455,2.833,2.886
2010-04-11,6.036,5.721,4.829,4.721,4.061,3.221,3.051
2010-04-12,6.153,5.945,4.995,5.036,4.5,3.548,3.12
2010-04-13,6.414,6.079,5.224,5.147,4.595,3.548,3.158
2010-04-14,6.581,6.207,5.429,5.14,4.713,3.665,3.22
2010-04-15,6.785,6.408,5.667,5.195,4.838,3.821,3.35
2010-04-16,6.774,6.375,5.768,5.195,4.883,3.964,3.432
2010-04-17,6.665,6.112,5.631,5.137,4.843,4.057,3.493
2010-04-18,6.687,6.15,5.751,5.126,4.875,4.051,3.551
2010-04-19,6.692,6.08,5.698,5.179,4.918,4.105,3.614
2010-04-20,6.522,5.737,5.514,5.211,4.925,4.121,3.665
2010-04-21,6.573,5.721,5.628,5.203,4.951,4.093,3.708
2010-04-22,6.893,6.08,5.745,5.293,5.063,4.131,3.752
2010-04-23,7.215,6.478,5.946,5.43,5.199,4.194,3.803
2010-04-24,7.379,6.536,6.166,5.489,5.266,4.252,3.845
2010-04-25,7.611,6.72,6.213,5.553,5.318,4.319,3.886
2010-04-26,7.864,6.986,6.302,5.668,5.437,4.371,3.934
2010-04-27,7.838,7.003,6.49,5.637,5.461,4.396,3.968
2010-04-28,7.823,6.958,6.524,5.581,5.352,4.431,3.999
2010-04-29,8.053,6.961,6.347,5.749,5.432,4.497,4.035
2010-04-30,8.006,7.113,6.289,5.959,5.592,4.495,4.065
2010-05-01,7.999,7.495,6.479,6.006,5.756,4.491,4.062
2010-05-02,8.237,7.817,6.753,5.946,5.849,4.514,4.06
2010-05-03,8.336,8.004,6.968,5.994,5.928,4.568,4.092
2010-05-04,8.48,8.249,7.058,6.353,6.119,4.662,4.171
2010-05-05,8.714,8.485,7.192,6.271,6.254,4.734,4.187
2010-05-06,8.899,8.563,7.437,6.123,6.127,4.817,4.225
2010-05-07,8.969,8.892,7.494,6.527,6.295,4.868,4.441
2010-05-08,8.88,9.085,7.336,6.99,6.606,4.895,4.59
2010-05-09,9.025,9.133,7.58,6.838,6.698,5.049,4.675
2010-05-10,8.966,9.11,7.577,7.293,7.073,5.133,4.959
2010-05-11,9.107,9.113,7.764,7.3,7.171,5.351,5.104
2010-05-12,9.303,9.159,7.988,7.193,6.974,5.576,5.209
2010-05-13,9.467,9.3,8.102,7.333,6.996,5.658,5.384
2010-05-14,9.582,9.353,8.08,7.454,7.174,5.663,5.513
2010-05-15,9.863,9.567,8.365,7.537,7.341,5.717,5.588
2010-05-16,10.004,9.493,8.44,7.593,7.386,5.872,5.67
2010-05-17,10.054,9.143,8.172,7.645,7.432,5.94,5.738
2010-05-18,10.366,9.178,8.335,7.558,7.409,6,5.767
2010-05-19,10.658,9.591,8.625,7.64,7.555,6.046,5.824
2010-05-20,10.797,9.999,9.054,7.754,7.72,6.08,5.896
2010-05-21,10.982,10.398,9.268,8.064,7.932,6.16,5.985
2010-05-22,11.434,10.866,9.653,8.05,8.064,6.315,6.03
