"Date","Bottom Temperature (oC)"
1995-05-24,6.016
1995-05-25,6.068
1995-05-26,6.075
1995-05-27,6.063
1995-05-28,6.082
1995-05-29,6.105
1995-05-30,6.137
1995-05-31,6.179
1995-06-01,6.198
1995-06-02,6.23
1995-06-03,6.272
1995-06-04,6.318
1995-06-05,6.363
1995-06-06,6.401
1995-06-07,6.436
1995-06-08,6.458
1995-06-09,6.473
1995-06-10,6.496
1995-06-11,6.511
1995-06-12,6.519
1995-06-13,6.524
1995-06-14,6.536
1995-06-15,6.562
1995-06-16,6.586
1995-06-17,6.624
1995-06-18,6.653
1995-06-19,6.678
1995-06-20,6.69
1995-06-21,6.734
1995-06-22,6.762
1995-06-23,6.804
1995-06-24,6.838
1995-06-25,6.89
1995-06-26,6.966
1995-06-27,7.052
1995-06-28,7.047
1995-06-29,7.069
1995-06-30,7.081
1995-07-01,7.061
1995-07-02,7.083
1995-07-03,7.084
1995-07-04,7.072
1995-07-05,7.055
1995-07-06,7.056
1995-07-07,7.07
1995-07-08,7.091
1995-07-09,7.125
1995-07-10,7.116
1995-07-11,7.128
1995-07-12,7.17
1995-07-13,7.199
1995-07-14,7.191
1995-07-15,7.155
1995-07-16,7.204
1995-07-17,7.304
1995-07-18,7.381
1995-07-19,7.395
1995-07-20,7.395
1995-07-21,7.444
1995-07-22,7.51
1995-07-23,7.6
1995-07-24,7.757
1995-07-25,8.035
1995-07-26,8.184
1995-07-27,8.483
1995-07-28,8.809
1995-07-29,8.844
1995-07-30,8.93
1995-07-31,9.143
1995-08-01,9.168
1995-08-02,9.227
1995-08-03,9.258
1995-08-04,9.149
1995-08-05,9.147
1995-08-06,9.142
1995-08-07,9.097
1995-08-08,9.097
1995-08-09,9.131
1995-08-10,9.156
1995-08-11,9.213
1995-08-12,9.294
1995-08-13,9.426
1995-08-14,9.588
1995-08-15,9.762
1995-08-16,9.913
1995-08-17,10.086
1995-08-18,10.11
1995-08-19,9.862
1995-08-20,9.746
1995-08-21,9.763
1995-08-22,9.812
1995-08-23,9.913
1995-08-24,9.99
1995-08-25,10.121
1995-08-26,10.229
1995-08-27,10.27
1995-08-28,10.309
1995-08-29,10.318
1995-08-30,10.359
1995-08-31,10.413
1995-09-01,10.443
1995-09-02,10.52
1995-09-03,10.585
1995-09-04,10.625
1995-09-05,10.66
1995-09-06,10.677
1995-09-07,10.683
1995-09-08,10.678
1995-09-09,10.704
1995-09-10,10.643
1995-09-11,10.636
1995-09-12,10.623
1995-09-13,10.624
1995-09-14,10.613
1995-09-15,10.648
1995-09-16,10.719
1995-09-17,10.743
1995-09-18,10.73
1995-09-19,10.842
1995-09-20,10.887
1995-09-21,10.926
1995-09-22,10.952
1995-09-23,10.999
1995-09-24,11.084
1995-09-25,11.225
1995-09-26,11.271
1995-09-27,11.315
1995-09-28,11.285
1995-09-29,11.297
1995-09-30,11.357
1995-10-01,11.301
1995-10-02,11.299
1995-10-03,11.325
1995-10-04,11.385
1995-10-05,11.456
1995-10-06,11.516
1995-10-07,11.548
1995-10-08,11.634
1995-10-09,11.788
1995-10-10,11.887
1995-10-11,11.879
1995-10-12,11.904
1995-10-13,12.012
1995-10-14,12.088
1995-10-15,12.159
1995-10-16,12.252
1995-10-17,12.249
1995-10-18,12.247
1995-10-19,12.312
1995-10-20,12.387
1995-10-21,12.412
1995-10-22,12.406
1995-10-23,12.427
1995-10-24,12.443
1995-10-25,12.443
1995-10-26,12.453
1995-10-27,12.462
1995-10-28,12.459
1995-10-29,12.438
1995-10-30,12.338
1995-10-31,12.328
1995-11-01,12.368
1995-11-02,12.49
1995-11-03,12.522
1995-11-04,12.517
1995-11-05,12.444
1995-11-06,12.427
1995-11-07,12.485
1995-11-08,12.565
1995-11-09,12.514
1995-11-10,12.449
1995-11-11,12.47
1995-11-12,12.554
1995-11-13,12.511
1995-11-14,12.46
1995-11-15,12.472
1995-11-16,12.456
1995-11-17,12.374
1995-11-18,12.243
1995-11-19,12.175
1995-11-20,12.121
1995-11-21,12.023
1995-11-22,11.984
1995-11-23,11.902
1995-11-24,11.817
1995-11-25,11.771
1995-11-26,11.703
1995-11-27,11.558
1995-11-28,11.491
1995-11-29,11.446
1995-11-30,11.317
1995-12-01,11.167
1995-12-02,11.197
1995-12-03,11.029
1995-12-04,10.91
1995-12-05,10.877
1995-12-06,10.783
1995-12-07,10.685
1995-12-08,10.58
1995-12-09,10.45
1995-12-10,10.392
1995-12-11,10.293
1995-12-12,10.087
1995-12-13,9.918
1995-12-14,9.832
1995-12-15,9.779
1995-12-16,9.715
1995-12-17,9.631
1995-12-18,9.514
1995-12-19,9.405
1995-12-20,9.331
1995-12-21,9.236
1995-12-22,9.019
1995-12-23,8.971
1995-12-24,8.867
1995-12-25,8.765
1995-12-26,8.668
1995-12-27,8.56
1995-12-28,8.427
1995-12-29,8.298
1995-12-30,8.181
1995-12-31,8.091
1996-01-01,8.017
1996-01-02,7.921
1996-01-03,7.858
1996-01-04,7.796
1996-01-05,7.682
1996-01-06,7.483
1996-01-07,7.268
1996-01-08,7.158
1996-01-09,7.095
1996-01-10,7.02
1996-01-11,6.937
1996-01-12,6.782
1996-01-13,6.701
1996-01-14,6.624
1996-01-15,6.528
1996-01-16,6.356
1996-01-17,6.228
1996-01-18,6.224
1996-01-19,6.221
1996-01-20,6.248
1996-01-21,6.181
1996-01-22,6.114
1996-01-23,6.063
