"Date","47 m","66 m","78 m","92 m","110 m"
2000-01-11,7.481,7.803,8.461,9.681,9.056
2000-01-12,7.253,7.366,8.044,9.477,8.625
2000-01-13,7.341,7.668,8.57,9.689,9.274
2000-01-14,7.582,7.947,8.915,9.835,9.443
2000-01-15,7.408,7.728,9.016,9.893,9.278
2000-01-16,7.315,7.533,9.014,9.793,9.105
2000-01-17,7.1,7.321,8.16,9.284,8.289
2000-01-18,6.614,6.826,7.368,8.839,7.459
2000-01-19,6.586,6.668,7.159,8.661,7.339
2000-01-20,6.254,6.381,6.613,8.039,7.043
2000-01-21,5.77,6.126,6.296,8.185,6.876
2000-01-22,5.513,5.66,5.704,7.725,6.833
2000-01-23,5.938,6.012,5.642,8.061,7.489
2000-01-24,6.585,6.927,6.205,8.32,7.983
2000-01-25,6.233,6.811,6.012,7.639,7.793
2000-01-26,5.325,5.45,5.326,6.859,7.425
2000-01-27,4.941,5.464,5.165,6.898,7.354
2000-01-28,5.201,6.389,5.569,7.354,7.717
2000-01-29,5.368,6.55,5.746,7.44,7.937
2000-01-30,5.353,6.36,5.625,7.175,7.977
2000-01-31,5.225,6.043,5.451,6.601,7.891
2000-02-01,4.965,5.42,5.281,6.081,7.625
2000-02-02,4.948,5.717,5.35,6.34,7.927
2000-02-03,4.947,6.202,5.572,6.956,8.476
2000-02-04,5.053,6.169,5.646,7.178,8.633
2000-02-05,5.137,5.745,5.548,6.737,8.564
2000-02-06,4.977,5.38,5.373,6.386,8.384
2000-02-07,4.924,5.416,5.33,6.516,8.581
2000-02-08,5.07,5.821,5.39,6.885,8.744
2000-02-09,5.11,6.66,5.513,7.088,8.721
2000-02-10,5.263,6.116,5.55,6.797,8.692
2000-02-11,5.282,6.201,5.631,6.8,8.655
2000-02-12,5.281,5.735,5.462,6.415,8.455
2000-02-13,5.089,5.414,5.346,6.285,8.313
2000-02-14,4.91,5.318,5.277,6.166,8.533
2000-02-15,4.702,4.88,5.134,5.933,7.215
2000-02-16,4.778,4.893,5.192,5.988,7.017
2000-02-17,4.809,5.088,5.165,5.981,8.216
2000-02-18,4.863,5.069,5.043,5.99,8.513
2000-02-19,4.784,5.104,4.967,5.926,8.348
2000-02-20,4.584,4.781,4.755,5.478,6.991
2000-02-21,4.342,4.507,4.524,5.552,5.381
2000-02-22,4.251,4.58,4.505,6.063,6.334
2000-02-23,4.187,4.578,4.458,6.172,7.254
2000-02-24,4.164,4.396,4.373,6.093,6.969
2000-02-25,4.286,4.552,4.573,6.486,7.539
2000-02-26,4.211,4.554,4.568,6.536,7.605
2000-02-27,4.056,4.22,4.324,6.193,6.793
2000-02-28,3.906,4.119,4.251,6.163,6.509
2000-02-29,3.916,4.303,4.429,6.304,7.152
2000-03-01,3.996,4.364,4.703,6.485,7.248
2000-03-02,4.044,4.368,4.647,6.33,6.993
2000-03-03,3.988,4.322,4.295,5.899,6.724
2000-03-04,3.903,4.289,4.133,5.661,6.635
2000-03-05,3.883,4.309,4.13,5.575,6.958
2000-03-06,3.932,4.294,4,5.308,6.902
2000-03-07,3.928,4.247,3.889,5.036,6.828
2000-03-08,3.927,4.177,3.815,4.804,6.827
2000-03-09,3.966,4.126,3.807,4.688,6.783
2000-03-10,4.003,4.082,3.819,4.638,6.864
2000-03-11,3.938,3.935,3.848,4.826,7.377
2000-03-12,3.935,3.892,3.835,4.816,7.319
2000-03-13,3.872,4.008,3.788,4.682,6.979
2000-03-14,3.799,3.857,3.878,4.962,7.61
2000-03-15,3.817,3.685,4.02,5.077,7.61
2000-03-16,3.849,3.728,4.013,4.978,7.507
2000-03-17,3.908,3.731,4.035,5.042,7.557
2000-03-18,3.805,3.711,4.168,5.425,7.531
2000-03-19,3.59,3.729,4.151,5.366,7.303
2000-03-20,3.679,3.692,3.905,4.503,6.041
2000-03-21,3.608,3.719,3.655,4.353,4.475
2000-03-22,3.526,3.636,3.552,4.496,4.74
2000-03-23,3.548,3.624,3.531,4.492,4.956
2000-03-24,3.563,3.64,3.54,4.546,5.17
2000-03-25,3.615,3.683,3.59,4.7,5.69
2000-03-26,3.695,3.777,3.589,4.564,5.924
2000-03-27,3.688,3.829,3.574,4.463,5.895
2000-03-28,3.741,3.725,3.621,4.581,6.358
2000-03-29,3.823,3.691,3.643,4.558,6.564
2000-03-30,3.836,3.686,3.672,4.598,6.665
2000-03-31,3.894,3.634,3.794,4.863,7.023
2000-04-01,3.889,3.582,3.956,5.176,7.03
2000-04-02,3.962,3.567,4.082,5.365,6.99
2000-04-03,4.053,3.599,4.15,5.488,6.985
2000-04-04,4.078,3.761,4.255,5.622,6.982
2000-04-05,4.144,3.676,4.212,5.55,6.982
2000-04-06,4.282,4.103,4.282,5.643,6.977
2000-04-07,4.319,4.99,4.706,6.01,7.013
2000-04-08,4.278,4.94,4.924,6.088,7.015
2000-04-09,4.366,4.516,4.676,5.881,6.98
2000-04-10,4.419,4.485,4.407,5.649,6.778
2000-04-11,4.446,4.605,4.523,5.72,6.934
2000-04-12,4.496,4.847,4.799,5.852,7.156
2000-04-13,4.557,4.709,4.712,5.773,7.139
2000-04-14,4.624,4.765,4.794,5.845,7.109
2000-04-15,4.687,4.872,4.923,5.806,7.03
2000-04-16,4.808,4.925,4.936,5.69,7.026
2000-04-17,4.823,5.393,5.095,5.683,6.994
2000-04-18,4.716,5.225,5.094,5.637,6.952
2000-04-19,4.854,4.861,4.963,5.523,6.95
2000-04-20,4.919,4.66,4.812,5.398,6.915
2000-04-21,4.89,4.706,4.686,5.285,6.862
2000-04-22,4.984,4.943,4.611,5.189,6.865
2000-04-23,5.102,5.388,4.601,5.072,6.8
2000-04-24,5.167,5.473,4.622,5.015,6.774
2000-04-25,5.13,5.25,4.605,5.055,6.899
2000-04-26,5.096,4.885,4.595,5.1,6.974
2000-04-27,5.206,4.918,4.705,4.951,6.639
2000-04-28,5.257,5.427,5.025,5.035,6.304
2000-04-29,5.282,5.354,5.109,5.27,6.707
2000-04-30,5.327,5.168,5.178,5.448,6.801
2000-05-01,5.36,5.172,5.269,5.661,6.703
2000-05-02,5.384,5.113,5.344,5.833,6.665
2000-05-03,5.414,4.932,5.398,5.938,6.731
2000-05-04,5.437,4.666,5.398,5.97,6.78
2000-05-05,5.4,4.573,5.317,5.883,6.759
2000-05-06,5.409,4.546,5.247,5.863,6.82
2000-05-07,5.333,4.517,5.193,5.917,6.806
2000-05-08,5.261,4.439,5.138,5.858,6.725
2000-05-09,5.253,4.513,5.118,5.913,6.719
2000-05-10,5.219,4.521,5.127,5.978,6.693
2000-05-11,5.277,4.531,5.152,5.932,6.597
2000-05-12,5.23,4.768,5.244,5.99,6.531
2000-05-13,5.276,4.679,5.419,6.195,6.726
2000-05-14,5.428,4.772,5.498,6.272,6.781
2000-05-15,5.494,4.948,5.521,6.299,6.764
2000-05-16,5.456,4.998,5.607,6.405,6.782
2000-05-17,5.532,4.977,5.711,6.521,6.826
